run_purpose,dataset,model,attack_type,attack_specific,repeat,output,risk_score,format_ok_has_score,format_ok_length,latency_sec,prompt_tokens,completion_tokens,error,timestamp
"Rerun gemma4:12b tren ca 3 dataset sau khi fix num_ctx=16384 (truoc do dung mac dinh 4096, khien gemma4:12b - model 'thinking' - bi cat ngang giua chung think block, tra ve content rong / khong co risk score o ca 3 dataset, xem local_multi_model_results_1.csv)",Smart Grid,gemma4:12b,device identification attack,3,1,,,False,False,107.52,271,3825,,2026-08-24T07:43:41
"Rerun gemma4:12b tren ca 3 dataset sau khi fix num_ctx=16384 (truoc do dung mac dinh 4096, khien gemma4:12b - model 'thinking' - bi cat ngang giua chung think block, tra ve content rong / khong co risk score o ca 3 dataset, xem local_multi_model_results_1.csv)",Smart Grid,gemma4:12b,naive sensor read,4,1,,,False,False,93.65,803,3293,,2026-08-24T07:45:14
"Rerun gemma4:12b tren ca 3 dataset sau khi fix num_ctx=16384 (truoc do dung mac dinh 4096, khien gemma4:12b - model 'thinking' - bi cat ngang giua chung think block, tra ve content rong / khong co risk score o ca 3 dataset, xem local_multi_model_results_1.csv)",Smart Grid,gemma4:12b,force listen mode,6,1,,,False,False,107.83,267,3829,,2026-08-24T07:47:02
"Rerun gemma4:12b tren ca 3 dataset sau khi fix num_ctx=16384 (truoc do dung mac dinh 4096, khien gemma4:12b - model 'thinking' - bi cat ngang giua chung think block, tra ve content rong / khong co risk score o ca 3 dataset, xem local_multi_model_results_1.csv)",Smart Grid,gemma4:12b,restart communication,7,1,,,False,False,106.67,300,3796,,2026-08-24T07:48:49
"Rerun gemma4:12b tren ca 3 dataset sau khi fix num_ctx=16384 (truoc do dung mac dinh 4096, khien gemma4:12b - model 'thinking' - bi cat ngang giua chung think block, tra ve content rong / khong co risk score o ca 3 dataset, xem local_multi_model_results_1.csv)",Smart Grid,gemma4:12b,data flood attack,8,1,,,False,False,5.81,0,0,,2026-08-24T07:48:55
"Rerun gemma4:12b tren ca 3 dataset sau khi fix num_ctx=16384 (truoc do dung mac dinh 4096, khien gemma4:12b - model 'thinking' - bi cat ngang giua chung think block, tra ve content rong / khong co risk score o ca 3 dataset, xem local_multi_model_results_1.csv)",Water Bottle Factory,gemma4:12b,address scan,1,1,,,False,False,107.09,269,3827,,2026-08-24T07:50:44
"Rerun gemma4:12b tren ca 3 dataset sau khi fix num_ctx=16384 (truoc do dung mac dinh 4096, khien gemma4:12b - model 'thinking' - bi cat ngang giua chung think block, tra ve content rong / khong co risk score o ca 3 dataset, xem local_multi_model_results_1.csv)",Water Bottle Factory,gemma4:12b,function code scan,2,1,,,False,False,106.65,306,3790,,2026-08-24T07:52:31
"Rerun gemma4:12b tren ca 3 dataset sau khi fix num_ctx=16384 (truoc do dung mac dinh 4096, khien gemma4:12b - model 'thinking' - bi cat ngang giua chung think block, tra ve content rong / khong co risk score o ca 3 dataset, xem local_multi_model_results_1.csv)",Water Bottle Factory,gemma4:12b,device identification attack,3,1,,,False,False,106.3,313,3783,,2026-08-24T07:54:17
"Rerun gemma4:12b tren ca 3 dataset sau khi fix num_ctx=16384 (truoc do dung mac dinh 4096, khien gemma4:12b - model 'thinking' - bi cat ngang giua chung think block, tra ve content rong / khong co risk score o ca 3 dataset, xem local_multi_model_results_1.csv)",Water Bottle Factory,gemma4:12b,naive sensor read,4,1,,,False,False,107.37,272,3824,,2026-08-24T07:56:05
"Rerun gemma4:12b tren ca 3 dataset sau khi fix num_ctx=16384 (truoc do dung mac dinh 4096, khien gemma4:12b - model 'thinking' - bi cat ngang giua chung think block, tra ve content rong / khong co risk score o ca 3 dataset, xem local_multi_model_results_1.csv)",Water Bottle Factory,gemma4:12b,force listen mode,6,1,,,False,False,107.5,267,3829,,2026-08-24T07:57:52
"Rerun gemma4:12b tren ca 3 dataset sau khi fix num_ctx=16384 (truoc do dung mac dinh 4096, khien gemma4:12b - model 'thinking' - bi cat ngang giua chung think block, tra ve content rong / khong co risk score o ca 3 dataset, xem local_multi_model_results_1.csv)",Water Bottle Factory,gemma4:12b,restart communication,7,1,,,False,False,107.65,264,3832,,2026-08-24T07:59:40
"Rerun gemma4:12b tren ca 3 dataset sau khi fix num_ctx=16384 (truoc do dung mac dinh 4096, khien gemma4:12b - model 'thinking' - bi cat ngang giua chung think block, tra ve content rong / khong co risk score o ca 3 dataset, xem local_multi_model_results_1.csv)",Water Bottle Factory,gemma4:12b,data flood attack,8,1,"The flow rate of 11157.0 packets/sec vastly exceeds the 34.84 threshold. This indicates a high-frequency Modbus flood, likely a DoS attack or rapid reconnaissance targeting the ICS infrastructure. Risk Score: 9/10.",9.0,True,True,36.54,307,1292,,2026-08-24T08:00:16
