dataset,model,attack_type,attack_specific,repeat,output,risk_score,format_ok_has_score,format_ok_length,latency_sec,prompt_tokens,completion_tokens,error,timestamp
Intelligent Electronic Device,qwen3:4b,restart communication,7,1,Modbus PDU empty (0x) for function 8 indicates malformed packet attack. Flow rate 26 pps slightly above threshold (24.49). Risk Score: 8/10,8.0,True,True,38.71,287,3419,,2026-08-19T07:18:58
Intelligent Electronic Device,qwen3:4b,data flood attack,8,1,Flow rate 10588.25 pps (vs 24.49) is highly anomalous. MODBUS function 4 (read holding registers) at this rate suggests flood attack or data exfiltration. Risk Score: 9/10,9.0,True,True,32.49,298,2898,,2026-08-19T07:19:31
Intelligent Electronic Device,gemma4:e4b,address scan,1,1,"The packet flow rate (107.5 pps) significantly exceeds the normal threshold (24.49 pps), indicating potential flooding or reconnaissance activity. The Modbus function code (24.0) and PDU must be analyzed for malicious intent. High flow rate is the primary concern.

Risk Score: 8/10",8.0,True,False,110.03,285,395,,2026-08-19T07:21:21
Intelligent Electronic Device,gemma4:e4b,function code scan,2,1,"The packet flow rate (189.25 pps) is highly anomalous, suggesting potential DoS or rapid scanning. The use of MODBUS Function Code 40.0 (Write) indicates an attempt to modify critical ICS registers. This rapid, unauthorized write activity is highly suspicious and requires immediate investigation.

Risk Score: 9/10",9.0,True,False,9.55,297,704,,2026-08-19T07:21:30
Intelligent Electronic Device,gemma4:e4b,device identification attack,3,1,"The packet flow rate (38.75 pps) significantly exceeds the normal threshold (24.49 pps), indicating potential scanning or DoS activity. The use of Function Code 43.0 is also suspicious. This combination suggests active reconnaissance or malicious flooding.

Risk Score: 8/10",8.0,True,False,6.22,305,441,,2026-08-19T07:21:36
Intelligent Electronic Device,gemma4:e4b,naive sensor read,4,1,The packet flow rate (29.25 pps) significantly exceeds the normal threshold (24.49 pps). This high rate suggests excessive polling or potential reconnaissance/DoS activity targeting the ICS device. Risk Score: 7/10,7.0,True,True,6.52,271,468,,2026-08-19T07:21:43
Intelligent Electronic Device,gemma4:e4b,sporadic sensor measurement injection,5,1,"The flow rate (43.5 pps) is highly anomalous, exceeding the threshold (24.49 pps). The packet uses MODBUS Function Code 6 (Write Single Register), indicating rapid, potentially unauthorized data modification attempts. This suggests a potential Denial-of-Service or malicious write attack.

Risk Score: 9/10",9.0,True,False,5.95,307,428,,2026-08-19T07:21:49
Intelligent Electronic Device,gemma4:e4b,force listen mode,6,1,"The high packet flow rate (31.0 pps) significantly exceeds the established threshold (24.49 pps), indicating potential network flooding or rapid scanning. The use of MODBUS with a Function Code 8.0 and minimal PDU suggests automated, suspicious communication attempts. This behavior is highly anomalous and requires immediate investigation.

Risk Score: 8/10",8.0,True,False,7.8,268,563,,2026-08-19T07:21:57
Intelligent Electronic Device,gemma4:e4b,restart communication,7,1,"Elevated packet flow (26.0 pps) combined with MODBUS traffic and an empty PDU (0x) suggests rapid, potentially malicious reconnaissance or scanning activity. The high rate and malformed payload are concerning indicators of unauthorized probing of the ICS network.

Risk Score: 7/10",7.0,True,False,8.03,299,582,,2026-08-19T07:22:05
Intelligent Electronic Device,gemma4:e4b,data flood attack,8,1,"The packet flow rate (10588 pps) is critically high, far exceeding the normal threshold. This suggests potential network scanning, rapid polling, or a Denial-of-Service attack targeting the MODBUS device.

Risk Score: 9/10",9.0,True,True,6.14,310,434,,2026-08-19T07:22:11
Intelligent Electronic Device,qwen3:8b,address scan,1,1,High packet flow rate (107.5/s) and unusual Modbus function code 24 (non-standard) indicate potential DDoS or exploit activity. Risk Score: 9/10,9.0,True,True,66.88,275,742,,2026-08-19T07:23:18
Intelligent Electronic Device,qwen3:8b,function code scan,2,1,"High packet flow rate (189.25 pps) exceeds normal thresholds, indicating potential denial-of-service or scanning activity. Risk Score: 9/10.",9.0,True,True,7.25,285,407,,2026-08-19T07:23:25
Intelligent Electronic Device,qwen3:8b,device identification attack,3,1,"The packet flow rate (38.75 packets/sec) exceeds the threshold (24.49), indicating potential high-volume traffic. MODBUS function code 43 is non-standard, raising suspicion. Low RTT and high bytes in flight suggest possible DoS or scanning. Risk Score: 8/10.",8.0,True,True,12.63,293,730,,2026-08-19T07:23:38
Intelligent Electronic Device,qwen3:8b,naive sensor read,4,1,"The packet flow rate (29.25 pps) exceeds the example threshold (24.49 pps), indicating potential reconnaissance or scanning activity. Modbus function code 1.0 (read coils) is normal, but sustained high-rate traffic may signal probing. Risk Score: 7/10",7.0,True,True,13.38,261,770,,2026-08-19T07:23:51
Intelligent Electronic Device,qwen3:8b,sporadic sensor measurement injection,5,1,"The packet flow rate (43.5 packets/sec) exceeds the threshold (24.49), indicating potential high-traffic anomalies. Modbus function code 6 (write register) could be legitimate but paired with elevated rates raises suspicion. Risk Score: 8/10.",8.0,True,True,10.6,295,606,,2026-08-19T07:24:02
Intelligent Electronic Device,qwen3:8b,force listen mode,6,1,"The Modbus function code 8.0 with PDU 0x0000 suggests a potential read input registers request, possibly malformed or exploitative. Combined with a 31 packets/sec flow rate exceeding the 24.49 threshold, this indicates suspicious activity. Risk Score: 7/10.",7.0,True,True,9.24,258,525,,2026-08-19T07:24:11
Intelligent Electronic Device,qwen3:8b,restart communication,7,1,"The packet shows a MODBUS function code 8 (Exception Response), which is typically a normal error reply. However, the flow rate (26 pps) slightly exceeds the example threshold (24.49 pps), indicating potential scanning or DoS activity. Risk Score: 4/10.",4.0,True,True,9.13,287,519,,2026-08-19T07:24:20
Intelligent Electronic Device,qwen3:8b,data flood attack,8,1,"The packet flow rate of 10,588 packets/sec is exceptionally high, far exceeding normal thresholds. MODBUS Function Code 4 (read coils) at this rate suggests potential reconnaissance or denial-of-service attempts. Risk Score: 10/10",10.0,True,True,6.91,298,392,,2026-08-19T07:24:27
Intelligent Electronic Device,deepseek-r1:8b,address scan,1,1,"
The MODBUS function code 24.0 is unusual and often associated with custom or potentially malicious implementations. The extremely high packet flow rate (107.5 pps) compared to the normal threshold (24.49 pps) strongly indicates anomalous activity, such as a denial-of-service attempt or aggressive scanning targeting the MODBUS device at 192.168.0.1.

**Risk Score: 7/10**",7.0,True,False,62.62,269,674,,2026-08-19T07:25:30
Intelligent Electronic Device,deepseek-r1:8b,function code scan,2,1,"
The MODBUS function code 40.0 (Read Input Registers) is standard. Source and destination IPs (192.168.0.21 -> 192.168.0.1) are on the same subnet, suggesting internal traffic. The high packet flow rate (189.25 pps) combined with the low RTT indicates a potential flood, but the function code itself is benign. No other anomalies are specified.

Risk Score: 5/10",5.0,True,False,7.12,279,400,,2026-08-19T07:25:37
Intelligent Electronic Device,deepseek-r1:8b,device identification attack,3,1,"
The MODBUS function code 43.0 is non-standard, raising immediate suspicion. The high packet flow rate (38.75 pps) combined with a small frame time delta indicates rapid, potentially malicious transmission. This combination suggests an active attack, possibly exploiting the protocol or overwhelming the system.

Risk Score: 7/10",7.0,True,False,7.46,287,423,,2026-08-19T07:25:44
Intelligent Electronic Device,deepseek-r1:8b,naive sensor read,4,1,"
The packet flow rate is elevated (29.25 pps vs. 24.49 pps reference). A MODBUS function code 1.0 (broadcast read) is normal but combined with a high rate, it could indicate scanning or probing activity. Without baseline data, confirmation is difficult, but the deviation warrants attention.

Risk Score: 5/10",5.0,True,False,9.14,255,524,,2026-08-19T07:25:53
Intelligent Electronic Device,deepseek-r1:8b,sporadic sensor measurement injection,5,1,"
The MODBUS response (Fn 6) originates from 192.168.0.11 to 192.168.0.1. The high flow rate (43.5 pps) is unusual but not extreme. ACK RTT and Bytes In Flight are normal for small packets. Risk Score: 5/10",5.0,True,True,10.24,289,586,,2026-08-19T07:26:04
Intelligent Electronic Device,deepseek-r1:8b,force listen mode,6,1,"
The high packet flow rate (31 pps) combined with a MODBUS restart function code (8.0) is highly suspicious. Such rates can indicate a denial-of-service attack or other malicious activity attempting to overwhelm the system. This behaviour significantly deviates from normal operational patterns.

Risk Score: 9/10",9.0,True,False,6.64,252,374,,2026-08-19T07:26:10
Intelligent Electronic Device,deepseek-r1:8b,restart communication,7,1,"
The packet flow rate is slightly above the mentioned threshold (26 vs. 24.49), indicating a potential anomaly. However, the single-packet analysis shows no immediate red flags (normal MODBUS function code 8.0). The flow rate suggests increased network activity, but without context on baseline, it's moderate.

Risk Score: 3/10",3.0,True,False,6.76,281,380,,2026-08-19T07:26:17
Intelligent Electronic Device,deepseek-r1:8b,data flood attack,8,1,"
The packet flow rate is extremely high (10588.25 pps) compared to the normal threshold (24.49 pps). This indicates a potential denial-of-service (DoS) or scanning attack targeting the MODBUS service on the internal network. Risk Score: 8/10",8.0,True,True,7.29,292,412,,2026-08-19T07:26:24
Intelligent Electronic Device,gemma4:12b,address scan,1,1,,,False,False,193.51,285,3811,,2026-08-19T07:29:38
Intelligent Electronic Device,gemma4:12b,function code scan,2,1,,,False,False,103.7,297,3799,,2026-08-19T07:31:21
Intelligent Electronic Device,gemma4:12b,device identification attack,3,1,,,False,False,103.71,305,3791,,2026-08-19T07:33:05
Intelligent Electronic Device,gemma4:12b,naive sensor read,4,1,,,False,False,104.41,271,3825,,2026-08-19T07:34:50
Intelligent Electronic Device,gemma4:12b,sporadic sensor measurement injection,5,1,,,False,False,103.56,307,3789,,2026-08-19T07:36:33
Intelligent Electronic Device,gemma4:12b,force listen mode,6,1,,,False,False,104.29,268,3828,,2026-08-19T07:38:17
Intelligent Electronic Device,gemma4:12b,restart communication,7,1,,,False,False,103.95,299,3797,,2026-08-19T07:40:01
Intelligent Electronic Device,gemma4:12b,data flood attack,8,1,,,False,False,103.5,310,3786,,2026-08-19T07:41:45
Intelligent Electronic Device,qwen3:14b,address scan,1,1,"High flow rate (107.5 pps) exceeds threshold (24.49 pps), indicating potential DoS or scanning. MODBUS function 24 (write multiple coils) may be legitimate but combined with high rate raises concern. Risk Score: 9/10",9.0,True,True,104.72,275,715,,2026-08-19T07:43:30
Intelligent Electronic Device,qwen3:14b,function code scan,2,1,High flow rate (189.25 vs 24.49) and invalid Modbus function code (40.0) indicate potential malicious activity. Risk Score: 9/10,9.0,True,True,18.11,285,608,,2026-08-19T07:43:48
Intelligent Electronic Device,qwen3:14b,device identification attack,3,1,"The packet flow rate (38.75 pps) exceeds the anomaly threshold (24.49 pps), and the non-standard MODBUS function code (43) suggests potential malicious activity. Risk Score: 8/10",8.0,True,True,24.41,293,823,,2026-08-19T07:44:12
Intelligent Electronic Device,qwen3:14b,naive sensor read,4,1,"The packet shows a slightly elevated flow rate (29.25 vs. 24.49 pps) and a Modbus PDU with an unusually high coil quantity (32000), suggesting potential scanning or exploitation. Risk Score: 6/10",6.0,True,True,31.17,261,1051,,2026-08-19T07:44:43
Intelligent Electronic Device,qwen3:14b,sporadic sensor measurement injection,5,1,"The packet shows a high flow rate (43.5 pps) exceeding the 24.49 pps threshold, indicating potential anomaly. MODBUS function 6 is standard, but PDU format (0x001463b7) may be malformed. Risk Score: 6/10",6.0,True,True,28.91,295,972,,2026-08-19T07:45:12
Intelligent Electronic Device,qwen3:14b,force listen mode,6,1,"The packet has a flow rate (31 pps) above the threshold (24.49 pps), function code 8 (unusual), and PDU 0x0000 (invalid). These suggest potential malicious activity. Risk Score: 8/10",8.0,True,True,36.23,258,1216,,2026-08-19T07:45:48
Intelligent Electronic Device,qwen3:14b,restart communication,7,1,"The packet uses MODBUS function code 8 (uncommon), has an empty PDU, and a slightly elevated flow rate (26 vs. 24.49 pps). These may indicate probing or malformed traffic. Risk Score: 6/10",6.0,True,True,19.74,287,657,,2026-08-19T07:46:08
Intelligent Electronic Device,qwen3:14b,data flood attack,8,1,"Network flow rate (10,588 packets/sec) far exceeds the anomalous threshold (24.49). MODBUS function 4 is standard, but high-rate traffic may indicate scanning or DoS. Risk Score: 8/10",8.0,True,True,23.45,298,783,,2026-08-19T07:46:32
Smart Grid,phi4-mini,address scan,1,1,The packet flow rate is significantly higher than normal. This could indicate a potential security breach or DoS attack. Risk Score: 8/10.,8.0,True,True,25.1,228,31,,2026-08-19T07:46:58
Smart Grid,phi4-mini,function code scan,2,1,The packet flow rate is significantly higher than normal. This could indicate a potential security breach or DoS attack. Risk Score: 8/10.,8.0,True,True,0.53,256,31,,2026-08-19T07:46:59
Smart Grid,phi4-mini,device identification attack,3,1,The packet flow rate is significantly lower than the threshold for anomaly. No immediate risk detected. Risk Score: 1/10.,1.0,True,True,0.53,228,27,,2026-08-19T07:47:00
Smart Grid,phi4-mini,naive sensor read,4,1,The packet flow rate is significantly higher than the threshold. This could indicate a potential DoS attack or misconfiguration. Risk Score: 8/10.,8.0,True,True,0.62,416,32,,2026-08-19T07:47:00
Smart Grid,phi4-mini,force listen mode,6,1,The packet flow rate is significantly higher than normal. Risk Score: 8/10.,8.0,True,True,0.45,228,19,,2026-08-19T07:47:01
Smart Grid,phi4-mini,restart communication,7,1,The packet flow rate is significantly lower than the threshold for anomalous activity. No immediate risk detected. Risk Score: 1/10.,1.0,True,True,0.54,249,29,,2026-08-19T07:47:01
Smart Grid,phi4-mini,data flood attack,8,1,The high packet flow rate (11108.25 pps) significantly exceeds the threshold (15.07 pps). The Modbus function code 4.0 suggests a read operation. The IP addresses indicate internal communication. The frame time delta and TCP RTT are within normal ranges. The PDU size is unusually large. This unusual high flow rate and large PDU size indicate a potential DoS attack or data exfiltration attempt. Risk Score: 8/10.,8.0,True,False,1.18,294,97,,2026-08-19T07:47:02
Smart Grid,qwen3:4b,address scan,1,1,Packet flow rate (17.25 pps) exceeds threshold (15.07 pps) and non-standard Modbus function code (43) indicates potential threat. Risk Score: 7/10,7.0,True,True,65.0,262,3801,,2026-08-19T07:48:07
Smart Grid,qwen3:4b,function code scan,2,1,"Flow rate 39 pps > 15.07 and invalid Modbus (FC 102, PDU 0x00000000) -> high risk. Risk Score: 7/10",7.0,True,True,57.23,295,4937,,2026-08-19T07:49:05
Smart Grid,qwen3:4b,device identification attack,3,1,Flow rate (12.0 pps) < 15.07 pps. Function code 43 non-standard. Risk Score: 2/10,2.0,True,True,53.01,261,4609,,2026-08-19T07:49:58
Smart Grid,qwen3:4b,naive sensor read,4,1,Malformed Modbus PDU (all zeros) and flow rate 18.25 pps > threshold 15.07 pps indicate potential DoS. Risk Score: 8/10,8.0,True,True,32.96,790,2879,,2026-08-19T07:50:31
Smart Grid,qwen3:4b,force listen mode,6,1,"Flow rate (17.0 pps) not much higher than threshold (15.07 pps). Modbus request (func 8, PDU 0x0000) valid. No anomaly. Risk Score: 1/10",1.0,True,True,50.49,257,4388,,2026-08-19T07:51:21
Smart Grid,qwen3:4b,restart communication,7,1,"Malformed Modbus packet (function 8, empty PDU) detected. Risk Score: 5/10",5.0,True,True,41.34,288,3668,,2026-08-19T07:52:02
Smart Grid,qwen3:4b,data flood attack,8,1,High packet flow rate (11108.25 pps) detected. Risk Score: 10/10,10.0,True,True,59.96,409,5141,,2026-08-19T07:53:02
Smart Grid,gemma4:e4b,address scan,1,1,"The packet exhibits two major anomalies: an unusual Function Code (43.0) and an elevated flow rate (17.25 pps). The high rate suggests scanning or brute-forcing activity, while the non-standard function code indicates potential protocol misuse or malicious payload injection. This combination is highly suspicious.

Risk Score: 8/10",8.0,True,False,96.72,272,641,,2026-08-19T07:54:39
Smart Grid,gemma4:e4b,function code scan,2,1,"The high packet flow rate (39 pps) significantly exceeds the baseline, suggesting potential scanning or DoS activity. The use of Function Code 102.0 and a zeroed PDU is highly anomalous for standard Modbus communication, indicating suspicious reconnaissance or unauthorized protocol usage.

Risk Score: 8/10",8.0,True,False,9.75,307,724,,2026-08-19T07:54:49
Smart Grid,gemma4:e4b,device identification attack,3,1,"Suspicious Modbus Function Code (43.0) suggests unauthorized or non-standard communication attempt. While the current flow rate (12.0 pps) is below the defined threshold, the unusual function code is a critical indicator of potential reconnaissance or exploitation. Risk Score: 6/10",6.0,True,False,6.1,271,442,,2026-08-19T07:54:55
Smart Grid,gemma4:e4b,naive sensor read,4,1,"The packet flow rate (18.25 pps) exceeds the normal threshold, indicating potential scanning or excessive polling activity. The unusually long, zero-filled MODBUS PDU is highly suspicious and suggests payload manipulation or data exfiltration attempt.
Risk Score: 8/10",8.0,True,False,7.0,803,491,,2026-08-19T07:55:02
Smart Grid,gemma4:e4b,force listen mode,6,1,"The packet flow rate (17.0 pps) exceeds the normal threshold (15.07 pps), indicating potential excessive traffic or scanning activity on the MODBUS protocol. This high rate warrants investigation for reconnaissance or DoS attempts. Risk Score: 7/10",7.0,True,True,5.79,267,412,,2026-08-19T07:55:08
Smart Grid,gemma4:e4b,restart communication,7,1,"The flow rate (12.25 pps) is below the defined anomaly threshold. However, the use of Function Code 8.0 with an empty PDU (0x) is highly suspicious, suggesting a malformed or incomplete Modbus command attempt. This warrants investigation.

Risk Score: 7/10",7.0,True,True,8.86,300,638,,2026-08-19T07:55:17
Smart Grid,gemma4:e4b,data flood attack,8,1,"The packet flow rate (11108 pps) is critically high, indicating a severe Denial of Service (DoS) or flood attack. The large, repetitive Modbus PDU suggests payload abuse or an attempt at data flooding/exfiltration. This combination represents a major network breach attempt.

Risk Score: 9/10",9.0,True,False,8.46,421,606,,2026-08-19T07:55:25
Smart Grid,qwen3:8b,address scan,1,1,"The Modbus function code 43.0 is non-standard, indicating potential misuse. The packet flow rate (17.25 pps) exceeds the threshold (15.07 pps), suggesting possible reconnaissance or denial-of-service. Risk Score: 8/10",8.0,True,True,68.21,262,1239,,2026-08-19T07:56:33
Smart Grid,qwen3:8b,function code scan,2,1,"High packet rate (39 pps) exceeds threshold, potential scan or DoS. Zero Modbus PDU may indicate malformed traffic. Risk Score: 7/10",7.0,True,True,15.61,295,901,,2026-08-19T07:56:49
Smart Grid,qwen3:8b,device identification attack,3,1,"The Modbus function code 43.0 is non-standard, indicating potential exploitation or malformed traffic. While the flow rate (12 pps) is below the anomalous threshold (15.07 pps), the function code suggests a high-risk anomaly. Risk Score: 8/10",8.0,True,True,13.92,261,799,,2026-08-19T07:57:03
Smart Grid,qwen3:8b,naive sensor read,4,1,"The packet shows a MODBUS function code 1.0 (read coils), but the PDU is unusually long and malformed, suggesting potential exploitation. Flow rate (18.25 pps) slightly exceeds the threshold, indicating possible flooding. Risk Score: 7/10.",7.0,True,True,10.95,790,603,,2026-08-19T07:57:14
Smart Grid,qwen3:8b,force listen mode,6,1,"The packet shows a MODBUS function code 8 (Substitute Byte) with zero PDU, possibly indicating a malformed or probing request. Flow rate (17 pps) slightly exceeds the 15.07 pps threshold for anomaly. Short frame time delta suggests rapid succession, potentially indicative of a scan or attack.  

Risk Score: 6/10",6.0,True,False,10.56,257,603,,2026-08-19T07:57:24
Smart Grid,qwen3:8b,restart communication,7,1,"The Modbus function code 8.0 (Mask Write Register) suggests potential unauthorized register manipulation, which could disrupt ICS operations. While the packet flow rate (12.25 pps) is below the anomalous threshold (15.07 pps), the function code indicates a possible attack vector.  

Risk Score: 5/10",5.0,True,False,10.52,288,600,,2026-08-19T07:57:35
Smart Grid,qwen3:8b,data flood attack,8,1,"High packet flow rate (11,108 packets/sec) far exceeds normal thresholds, indicating potential DoS or scanning activity. Risk Score: 10/10",10.0,True,True,14.06,409,809,,2026-08-19T07:57:49
Smart Grid,deepseek-r1:8b,address scan,1,1,"
The MODBUS function code 43.0 is non-standard, often indicating private or extended applications. Coupled with a slightly elevated packet flow rate (17.25 pps vs. 15.07 pps), this could suggest an attempt to exploit or probe the system using unusual protocols. The small frame time delta indicates rapid consecutive packets, potentially part of an attack.

Risk Score: 6/10",6.0,True,False,62.03,256,518,,2026-08-19T07:58:51
Smart Grid,deepseek-r1:8b,function code scan,2,1,"
The MODBUS function code 102.0 is highly unusual and not part of the standard MODBUS range (01-0F, 10-17, etc.). A zero Modbus PDU indicates no valid data or request, which is atypical. The packet flow rate of 39 pps is significantly above the normal threshold of 15.07 pps, suggesting aggressive scanning or flooding. This combination indicates a high-risk anomaly.

Risk Score: 9/10",9.0,True,False,6.29,289,355,,2026-08-19T07:58:57
Smart Grid,deepseek-r1:8b,device identification attack,3,1,"
The non-standard Modbus function code (43.0) is a primary concern, as standard codes range from 1 to 127. This could indicate malformed traffic or an attempt to exploit the protocol. The flow rate (12.0 pps) is below the typical anomaly threshold (15.07+), suggesting it may not be a high-volume attack, but the function code anomaly itself warrants attention.

Risk Score: 5/10",5.0,True,False,9.39,255,540,,2026-08-19T07:59:07
Smart Grid,deepseek-r1:8b,naive sensor read,4,1,"
The MODBUS packet shows an unusually long IP length (311.0 bytes) and low RTT, suggesting a potential flood or automated attack. The high broadcast read (Func 1.0) with all-zero data is suspicious. The elevated flow rate (18.25 pps) near the threshold indicates coordinated malicious activity.

Risk Score: 8/10",8.0,True,False,10.57,784,583,,2026-08-19T07:59:17
Smart Grid,deepseek-r1:8b,force listen mode,6,1,"
The MODBUS packet with Function Code 8.0 (NOP) has a PDU of 0x0000, indicating no data payload. The high packet flow rate of 17.0 packets per second, despite the NOP function code, suggests unusual scanning or probing activity, deviating from typical low rates. This warrants attention.

Risk Score: 5/10",5.0,True,False,8.21,251,468,,2026-08-19T07:59:25
Smart Grid,deepseek-r1:8b,restart communication,7,1,"
The packet flow rate (12.25 pps) is below the anomalous threshold (15.07 pps). Function code 8.0 (broadcast) warrants attention but lacks clear malicious intent here. Overall, the activity appears within normal parameters.

Risk Score: 2/10",2.0,True,True,6.64,282,379,,2026-08-19T07:59:32
Smart Grid,deepseek-r1:8b,data flood attack,8,1,"
High packet flow rate (11,108 pps) combined with a large IP length (177 bytes) for MODBUS protocol is highly suspicious. Normal MODBUS traffic is typically much lower. The small Frame Time Delta suggests rapid, automated transmission, indicative of scanning or flooding activity. Risk Score: 7/10",7.0,True,False,7.94,403,450,,2026-08-19T07:59:40
Smart Grid,gemma4:12b,address scan,1,1,,,False,False,173.21,272,3824,,2026-08-19T08:02:33
Smart Grid,gemma4:12b,function code scan,2,1,,,False,False,103.59,307,3789,,2026-08-19T08:04:17
Smart Grid,gemma4:12b,device identification attack,3,1,,,False,False,104.52,271,3825,,2026-08-19T08:06:01
Smart Grid,gemma4:12b,naive sensor read,4,1,,,False,False,52.05,0,0,,2026-08-19T08:06:53
Smart Grid,gemma4:12b,force listen mode,6,1,,,False,False,104.68,267,3829,,2026-08-19T08:08:38
Smart Grid,gemma4:12b,restart communication,7,1,,,False,False,103.44,300,3796,,2026-08-19T08:10:21
Smart Grid,gemma4:12b,data flood attack,8,1,,,False,False,5.38,0,0,,2026-08-19T08:10:27
Smart Grid,qwen3:14b,address scan,1,1,"The packet uses a non-standard MODBUS function code (43) and a PDU (0x0e0100), suggesting potential exploitation. Flow rate (17.25 pps) exceeds the threshold (15.07 pps), indicating abnormal activity. Risk Score: 6/10",6.0,True,True,103.12,262,659,,2026-08-19T08:12:10
Smart Grid,qwen3:14b,function code scan,2,1,"Anomalous behavior detected: non-standard MODBUS function code (102.0), high flow rate (39 pps), and invalid PDU (0x00000000). These indicate potential exploitation or malicious activity.  
Risk Score: 8/10",8.0,True,True,14.82,295,496,,2026-08-19T08:12:25
Smart Grid,qwen3:14b,device identification attack,3,1,"The packet uses a non-standard MODBUS function code (43) and malformed PDU (0x0e0100), indicating potential exploitation. Flow rate (12 pps) is below the anomaly threshold (15.07 pps). Risk Score: 9/10",9.0,True,True,24.1,261,813,,2026-08-19T08:12:49
Smart Grid,qwen3:14b,naive sensor read,4,1,"The packet shows a high flow rate (18.25 pps) and an unusually large MODBUS PDU with all-zero data, suggesting potential probing or DoS. Risk Score: 6/10",6.0,True,True,16.39,790,526,,2026-08-19T08:13:05
Smart Grid,qwen3:14b,force listen mode,6,1,"The packet uses a reserved MODBUS function code (8.0) and an empty PDU (0x0000), indicating potential exploitation or malformed traffic. Flow rate (17 pps) slightly exceeds the threshold. Risk Score: 8/10.",8.0,True,True,25.84,257,865,,2026-08-19T08:13:31
Smart Grid,qwen3:14b,restart communication,7,1,"The packet uses MODBUS function code 8.0 (reserved, not standard), with incomplete PDU data. Flow rate (12.25 pps) is below the anomalous threshold (15.07 pps). However, non-standard function codes and malformed PDU suggest potential exploitation.  
Risk Score: 7/10",7.0,True,True,22.85,288,768,,2026-08-19T08:13:54
